Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000033.spe	244.00	7.26	1	0.010270	-0.010164	0.009073	0.081458	72037	1.52	65	762	0	176	5237	659	3034	57012	1449	166	740	879	32640	0	642	72	148	0	0	944	1037	8073	0	1521	273	32	81	185	1557	4186	208	468	254	478	21	346	91279	26053	0.180	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000034.spe	246.00	7.25	1	0.010270	-0.010164	0.009073	0.081458	73232	1.57	76	1058	0	156	4819	681	3556	82216	1415	129	654	787	41547	231	768	0	233	81	0	1011	1216	9428	70	1783	423	26	110	216	1643	4343	206	308	118	442	244	0	85539	22926	0.175	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000035.spe	248.00	7.26	1	0.010270	-0.010164	0.009073	0.081458	75878	1.74	86	989	0	90	4056	724	4498	95810	3368	161	822	949	59927	109	790	113	258	96	0	1266	1449	10749	207	2882	375	0	147	183	1365	4083	137	356	275	387	205	425	83464	25247	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000036.spe	250.00	7.26	1	0.010270	-0.010164	0.009073	0.081458	81445	1.62	96	1274	0	136	4696	770	4882	114122	3905	165	954	980	60592	23	662	158	322	133	0	1229	1327	11671	119	3079	505	70	53	172	1340	4269	197	256	296	580	264	249	89414	24393	0.176	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000037.spe	252.00	7.24	1	0.010270	-0.010164	0.009073	0.081458	73557	1.68	43	1311	0	197	4821	726	3399	60241	2206	134	965	724	33229	0	737	0	253	214	0	883	1309	8110	256	4382	252	38	130	227	1647	4709	132	182	77	347	125	527	92965	25778	0.181	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000038.spe	254.00	7.23	1	0.010270	-0.010164	0.009073	0.081458	73855	1.61	22	1146	0	105	5108	701	3489	64464	1964	155	812	670	37685	207	755	34	141	304	0	982	791	7589	0	3420	286	0	147	167	1660	4852	91	208	677	275	205	0	92324	24285	0.180	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000039.spe	256.00	7.24	1	0.010270	-0.010164	0.009073	0.081458	75145	1.45	27	1078	0	190	5160	764	3578	70583	1961	135	906	846	39517	455	729	31	150	232	0	709	1050	8733	70	2871	356	35	82	268	1619	4680	222	211	407	150	283	0	92078	26086	0.179	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000040.spe	258.00	7.22	1	0.010270	-0.010164	0.009073	0.081458	80984	1.80	75	1465	0	241	5837	751	4254	78966	1296	186	1009	654	34399	544	887	63	87	97	0	805	1130	8732	0	2379	420	68	93	245	1935	5128	248	185	699	172	169	0	99448	26767	0.185	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000041.spe	260.00	7.20	1	0.010270	-0.010164	0.009073	0.081458	70857	1.60	27	1548	0	177	4991	810	3356	51921	2157	161	959	689	28665	92	861	119	193	118	0	885	977	6793	0	2115	207	45	139	265	1808	4627	248	174	395	247	170	146	92042	25747	0.180	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000042.spe	262.00	7.17	0	0.010270	-0.010164	0.009073	0.081458	68872	1.70	12	800	0	159	5188	927	2738	59747	1398	176	1729	650	38590	94	674	144	345	84	0	867	789	7327	0	4549	242	0	142	280	1905	4828	211	208	439	475	343	45	82532	23632	0.174	
