,Si,clusters,filename
98,1324,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000098.spe
99,1208,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000099.spe
100,1290,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000100.spe
101,1335,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000101.spe
102,1216,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000102.spe
103,1094,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000103.spe
104,1267,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000104.spe
105,1300,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000105.spe
106,1321,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000106.spe
107,1239,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000107.spe
108,659,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000108.spe
109,963,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000109.spe
110,1388,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000110.spe
111,1393,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000111.spe
112,1444,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000112.spe
113,1407,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000113.spe
