,position_corr,Ca,Si,Fe,Sr,Ti,clusters
360,312.0,89136,927,32678,10168,1418,0.0
361,312.0,89136,927,32678,10168,1418,0.0
362,312.0,89136,927,32678,10168,1418,1.0
363,314.0,82397,679,34559,10132,1556,0.0
364,314.0,82397,679,34559,10132,1556,0.0
365,316.0,89976,789,33226,10459,1962,0.0
366,316.0,89976,789,33226,10459,1962,0.0
367,318.0,80795,949,39407,9531,1517,1.0
368,318.0,80795,949,39407,9531,1517,1.0
369,318.0,80795,949,39407,9531,1517,0.0
370,318.0,80795,949,39407,9531,1517,0.0
371,318.0,80795,949,39407,9531,1517,0.0
372,318.0,80795,949,39407,9531,1517,0.0
373,320.0,89904,1418,37925,8982,1507,1.0
374,320.0,89904,1418,37925,8982,1507,1.0
375,320.0,89904,1418,37925,8982,1507,0.0
376,320.0,89904,1418,37925,8982,1507,0.0
377,320.0,89904,1418,37925,8982,1507,0.0
378,320.0,89904,1418,37925,8982,1507,0.0
379,320.0,89904,1418,37925,8982,1507,1.0
380,320.0,89904,1418,37925,8982,1507,1.0
381,320.0,89904,1418,37925,8982,1507,0.0
382,320.0,89904,1418,37925,8982,1507,0.0
383,320.0,89904,1418,37925,8982,1507,1.0
384,320.0,89904,1418,37925,8982,1507,0.0
385,320.0,89904,1418,37925,8982,1507,1.0
386,320.0,89904,1418,37925,8982,1507,1.0
387,322.0,81857,1341,26839,8373,1266,1.0
388,322.0,81857,1341,26839,8373,1266,1.0
389,322.0,81857,1341,26839,8373,1266,1.0
390,322.0,81857,1341,26839,8373,1266,1.0
391,322.0,81857,1341,26839,8373,1266,2.0
392,322.0,81857,1341,26839,8373,1266,2.0
393,322.0,81857,1341,26839,8373,1266,2.0
394,322.0,81857,1341,26839,8373,1266,0.0
395,322.0,81857,1341,26839,8373,1266,0.0
396,322.0,81857,1341,26839,8373,1266,1.0
397,322.0,81857,1341,26839,8373,1266,1.0
398,322.0,81857,1341,26839,8373,1266,1.0
399,322.0,81857,1341,26839,8373,1266,1.0
400,322.0,81857,1341,26839,8373,1266,1.0
401,322.0,81857,1341,26839,8373,1266,2.0
402,322.0,81857,1341,26839,8373,1266,1.0
403,324.0,74579,1138,35668,7447,1097,1.0
404,324.0,74579,1138,35668,7447,1097,2.0
405,324.0,74579,1138,35668,7447,1097,1.0
406,324.0,74579,1138,35668,7447,1097,1.0
407,324.0,74579,1138,35668,7447,1097,0.0
408,324.0,74579,1138,35668,7447,1097,0.0
409,324.0,74579,1138,35668,7447,1097,1.0
410,324.0,74579,1138,35668,7447,1097,0.0
411,324.0,74579,1138,35668,7447,1097,0.0
412,324.0,74579,1138,35668,7447,1097,1.0
413,324.0,74579,1138,35668,7447,1097,1.0
414,324.0,74579,1138,35668,7447,1097,1.0
415,324.0,74579,1138,35668,7447,1097,1.0
416,326.0,65142,1360,35724,6900,2542,1.0
417,326.0,65142,1360,35724,6900,2542,1.0
418,326.0,65142,1360,35724,6900,2542,1.0
419,326.0,65142,1360,35724,6900,2542,1.0
420,326.0,65142,1360,35724,6900,2542,2.0
421,326.0,65142,1360,35724,6900,2542,2.0
422,326.0,65142,1360,35724,6900,2542,0.0
423,326.0,65142,1360,35724,6900,2542,0.0
424,326.0,65142,1360,35724,6900,2542,1.0
425,326.0,65142,1360,35724,6900,2542,1.0
426,326.0,65142,1360,35724,6900,2542,1.0
427,326.0,65142,1360,35724,6900,2542,1.0
428,326.0,65142,1360,35724,6900,2542,1.0
429,326.0,65142,1360,35724,6900,2542,1.0
430,326.0,65142,1360,35724,6900,2542,1.0
431,328.0,67600,1028,34277,6604,2178,1.0
432,328.0,67600,1028,34277,6604,2178,0.0
433,328.0,67600,1028,34277,6604,2178,1.0
434,328.0,67600,1028,34277,6604,2178,1.0
435,328.0,67600,1028,34277,6604,2178,1.0
436,328.0,67600,1028,34277,6604,2178,1.0
437,328.0,67600,1028,34277,6604,2178,1.0
438,328.0,67600,1028,34277,6604,2178,1.0
439,328.0,67600,1028,34277,6604,2178,1.0
440,328.0,67600,1028,34277,6604,2178,1.0
441,328.0,67600,1028,34277,6604,2178,0.0
442,330.0,60238,1460,34605,6652,1813,1.0
443,330.0,60238,1460,34605,6652,1813,1.0
444,330.0,60238,1460,34605,6652,1813,2.0
445,330.0,60238,1460,34605,6652,1813,2.0
446,330.0,60238,1460,34605,6652,1813,2.0
447,330.0,60238,1460,34605,6652,1813,2.0
448,330.0,60238,1460,34605,6652,1813,0.0
449,330.0,60238,1460,34605,6652,1813,1.0
450,330.0,60238,1460,34605,6652,1813,1.0
451,330.0,60238,1460,34605,6652,1813,0.0
452,330.0,60238,1460,34605,6652,1813,1.0
453,330.0,60238,1460,34605,6652,1813,1.0
454,330.0,60238,1460,34605,6652,1813,0.0
455,330.0,60238,1460,34605,6652,1813,0.0
456,330.0,60238,1460,34605,6652,1813,1.0
457,330.0,60238,1460,34605,6652,1813,1.0
458,332.0,66329,1240,36308,6780,1129,1.0
459,332.0,66329,1240,36308,6780,1129,1.0
460,332.0,66329,1240,36308,6780,1129,1.0
461,332.0,66329,1240,36308,6780,1129,1.0
462,332.0,66329,1240,36308,6780,1129,0.0
463,332.0,66329,1240,36308,6780,1129,0.0
464,332.0,66329,1240,36308,6780,1129,1.0
465,332.0,66329,1240,36308,6780,1129,1.0
466,332.0,66329,1240,36308,6780,1129,1.0
467,332.0,66329,1240,36308,6780,1129,0.0
468,332.0,66329,1240,36308,6780,1129,0.0
469,332.0,66329,1240,36308,6780,1129,1.0
470,332.0,66329,1240,36308,6780,1129,1.0
471,332.0,66329,1240,36308,6780,1129,1.0
472,332.0,66329,1240,36308,6780,1129,1.0
473,332.0,66329,1240,36308,6780,1129,1.0
474,332.0,66329,1240,36308,6780,1129,1.0
475,334.0,68626,1047,40107,6893,1521,1.0
476,334.0,68626,1047,40107,6893,1521,1.0
477,334.0,68626,1047,40107,6893,1521,1.0
478,334.0,68626,1047,40107,6893,1521,1.0
479,334.0,68626,1047,40107,6893,1521,0.0
480,334.0,68626,1047,40107,6893,1521,1.0
481,334.0,68626,1047,40107,6893,1521,1.0
482,334.0,68626,1047,40107,6893,1521,1.0
483,336.0,95744,931,61572,8759,2514,1.0
484,336.0,95744,931,61572,8759,2514,1.0
485,336.0,95744,931,61572,8759,2514,0.0
486,336.0,95744,931,61572,8759,2514,1.0
487,336.0,95744,931,61572,8759,2514,1.0
488,336.0,95744,931,61572,8759,2514,1.0
489,338.0,118227,969,60992,11409,2898,1.0
490,338.0,118227,969,60992,11409,2898,1.0
491,338.0,118227,969,60992,11409,2898,1.0
492,338.0,118227,969,60992,11409,2898,1.0
493,338.0,118227,969,60992,11409,2898,0.0
494,338.0,118227,969,60992,11409,2898,1.0
495,338.0,118227,969,60992,11409,2898,0.0
496,338.0,118227,969,60992,11409,2898,1.0
497,340.0,99347,905,49931,11154,1928,0.0
498,340.0,99347,905,49931,11154,1928,0.0
499,340.0,99347,905,49931,11154,1928,0.0
500,340.0,99347,905,49931,11154,1928,1.0
501,342.0,98874,861,49744,10238,3065,0.0
502,344.0,108470,922,61545,10209,3495,0.0
503,344.0,108470,922,61545,10209,3495,1.0
504,344.0,108470,922,61545,10209,3495,0.0
505,346.0,117571,993,77551,10627,4006,1.0
506,346.0,117571,993,77551,10627,4006,1.0
507,346.0,117571,993,77551,10627,4006,0.0
508,346.0,117571,993,77551,10627,4006,0.0
509,346.0,117571,993,77551,10627,4006,0.0
510,346.0,117571,993,77551,10627,4006,1.0
511,346.0,117571,993,77551,10627,4006,1.0
512,346.0,117571,993,77551,10627,4006,1.0
513,348.0,126856,1100,89057,11454,4342,1.0
514,348.0,126856,1100,89057,11454,4342,1.0
515,348.0,126856,1100,89057,11454,4342,2.0
516,348.0,126856,1100,89057,11454,4342,1.0
517,348.0,126856,1100,89057,11454,4342,1.0
518,348.0,126856,1100,89057,11454,4342,1.0
519,348.0,126856,1100,89057,11454,4342,1.0
520,348.0,126856,1100,89057,11454,4342,1.0
521,348.0,126856,1100,89057,11454,4342,1.0
522,350.0,128938,1037,81306,11506,3994,1.0
523,350.0,128938,1037,81306,11506,3994,1.0
524,350.0,128938,1037,81306,11506,3994,1.0
